Date	Precipitation[mm]	Temperature[degC]	Temperature_Daylight[degC]	PAR[µmolm-2s-1]	Daylength[h]	PET[mm]
2022-07-30	5.324264	19.830087	20.703372	405.697161	15.483210	nan
2022-07-31	4.247056	21.047594	22.698094	397.920320	15.432333	nan
2022-08-01	6.639028	20.791963	21.836482	421.671692	15.380750	nan
2022-08-02	0.002474	21.505052	22.672874	558.231358	15.328488	nan
2022-08-03	0.000441	24.915993	27.227733	648.166419	15.275572	nan
2022-08-04	0.003290	27.658137	29.922383	576.934546	15.222029	nan
2022-08-05	1.718997	22.954553	24.170414	470.772626	15.167885	nan
2022-08-06	0.000948	18.263701	19.057509	566.155865	15.113163	nan
2022-08-07	0.000838	19.168897	20.896806	663.692928	15.057889	nan
2022-08-08	0.000000	21.162044	22.819255	522.913562	15.002085	nan
2022-08-09	0.002145	21.559568	23.109871	474.307896	14.945775	nan
2022-08-10	0.000441	22.048016	23.723907	571.391662	14.888980	nan
2022-08-11	0.000858	23.195194	25.333508	633.703665	14.831721	nan
2022-08-12	0.042366	22.127271	23.868414	525.749223	14.774019	nan
2022-08-13	0.455324	22.133073	23.554190	455.288405	14.715895	nan
2022-08-14	0.128095	23.937893	25.603762	502.336516	14.657367	nan
2022-08-15	1.676992	23.984930	25.805607	496.139326	14.598455	nan
2022-08-16	0.002614	23.888633	25.555661	436.285020	14.539176	nan
2022-08-17	0.136092	25.621688	27.613137	533.078017	14.479547	nan
2022-08-18	1.307748	23.112924	24.714667	373.999120	14.419585	nan
2022-08-19	8.502519	21.185032	22.008544	308.096097	14.359307	nan
2022-08-20	5.062873	20.187388	21.363060	275.498007	14.298728	nan
2022-08-21	0.412414	19.751639	20.950599	319.934209	14.237862	nan
2022-08-22	0.290568	19.527640	21.159335	370.471440	14.176725	nan
2022-08-23	0.000960	20.066717	21.900961	465.284209	14.115329	nan
2022-08-24	0.001396	21.745433	23.475630	511.170672	14.053689	nan
2022-08-25	0.342453	22.749727	24.330878	391.609052	13.991816	nan
2022-08-26	4.427917	22.248699	23.945138	372.562850	13.929723	nan
2022-08-27	2.847526	20.217734	20.847852	193.887566	13.867422	nan
2022-08-28	0.019425	19.465357	20.395236	499.869721	13.804923	nan
2022-08-29	0.000000	17.692063	18.967958	401.778823	13.742238	nan
2022-08-30	0.186491	19.004587	20.122907	361.791825	13.679376	nan
2022-08-31	0.234760	17.785383	18.785730	312.520693	13.616348	nan
