Date	Precipitation[mm]	Temperature[degC]	Temperature_Daylight[degC]	PAR[µmolm-2s-1]	Daylength[h]	PET[mm]
2022-07-09	0.932839	17.486648	18.248218	323.219659	16.342515	nan
2022-07-10	0.685329	16.024853	16.646435	337.175518	16.313419	nan
2022-07-11	0.174891	17.580594	18.551604	538.444117	16.282971	nan
2022-07-12	0.001652	19.824080	21.326202	718.875932	16.251200	nan
2022-07-13	1.640919	21.739916	23.434078	335.603122	16.218137	nan
2022-07-14	0.188115	19.789997	20.491152	382.127276	16.183812	nan
2022-07-15	0.036438	16.994902	17.789716	425.579667	16.148256	nan
2022-07-16	1.009820	17.679998	18.989910	527.213590	16.111500	nan
2022-07-17	0.001723	17.932978	19.582124	726.460235	16.073576	nan
2022-07-18	0.000000	22.976062	24.769777	676.895815	16.034517	nan
2022-07-19	0.000864	26.908006	29.228242	728.092198	15.994353	nan
2022-07-20	0.000853	29.727193	31.663747	696.926402	15.953118	nan
2022-07-21	0.464851	25.850412	26.350452	499.922599	15.910842	nan
2022-07-22	0.290513	22.313196	23.412134	467.779150	15.867558	nan
2022-07-23	0.229172	20.732295	21.758120	450.356264	15.823298	nan
2022-07-24	0.000852	23.053681	24.542235	700.021996	15.778093	nan
2022-07-25	2.733199	26.677986	29.221999	597.441183	15.731974	nan
2022-07-26	0.722960	21.400447	22.292651	495.015299	15.684972	nan
2022-07-27	0.123522	18.394378	19.146002	457.680226	15.637117	nan
2022-07-28	0.001705	19.128185	20.705839	624.613258	15.588440	nan
2022-07-29	0.365109	22.349374	23.863593	608.267328	15.538969	nan
2022-07-30	5.385448	19.849525	20.729850	404.651190	15.488735	nan
2022-07-31	4.367437	21.050473	22.679471	398.277125	15.437765	nan
2022-08-01	7.110666	20.778891	21.807076	420.627326	15.386087	nan
2022-08-02	0.002255	21.481891	22.633190	556.542866	15.333729	nan
2022-08-03	0.000441	24.908249	27.199803	646.689234	15.280717	nan
2022-08-04	0.003825	27.633625	29.881821	578.989878	15.227078	nan
2022-08-05	1.420230	22.876229	24.051558	465.398983	15.172837	nan
2022-08-06	0.001078	18.235332	19.040729	557.773646	15.118018	nan
2022-08-07	0.000838	19.140340	20.875397	661.770765	15.062646	nan
2022-08-08	0.000000	21.154264	22.775726	517.684063	15.006745	nan
2022-08-09	0.002145	21.601460	23.116237	474.390367	14.950336	nan
2022-08-10	0.000441	22.046461	23.728296	573.612319	14.893442	nan
2022-08-11	0.000858	23.185413	25.322433	632.283501	14.836085	nan
2022-08-12	0.029717	22.149141	23.909072	522.644569	14.778284	nan
2022-08-13	0.448065	22.117106	23.587821	452.786101	14.720061	nan
2022-08-14	0.206110	23.978442	25.594633	500.675594	14.661434	nan
2022-08-15	1.529443	24.025717	25.828301	497.364877	14.602422	nan
2022-08-16	0.002715	23.923346	25.558881	438.314877	14.543043	nan
2022-08-17	0.160320	25.679393	27.607476	529.422052	14.483314	nan
2022-08-18	1.348168	23.118801	24.758290	377.621360	14.423253	nan
2022-08-19	10.312518	21.136255	21.965332	308.903144	14.362875	nan
2022-08-20	5.600418	20.174268	21.351338	278.957590	14.302196	nan
2022-08-21	0.364425	19.777793	20.939860	314.189121	14.241231	nan
2022-08-22	0.264126	19.561041	21.159421	373.183410	14.179994	nan
2022-08-23	0.000969	20.092383	21.937843	468.032031	14.118499	nan
2022-08-24	0.001459	21.774425	23.451346	512.994972	14.056759	nan
2022-08-25	0.295060	22.765170	24.316473	384.240063	13.994787	nan
2022-08-26	4.477211	22.229783	23.892081	369.974949	13.932594	nan
2022-08-27	2.782618	20.253556	20.863302	197.511676	13.870194	nan
2022-08-28	0.015635	19.470296	20.370945	500.397558	13.807596	nan
2022-08-29	0.000000	17.757951	18.978824	393.398766	13.744811	nan
2022-08-30	0.226500	18.985483	20.041447	357.942932	13.681850	nan
2022-08-31	0.228605	17.807939	18.806272	314.633675	13.618723	nan
